441 0.49 0.0628 0.0628
442 0.491 0.0558 0.0558
443 0.492 0.0489 0.0488
444 0.493 0.0419 0.0419
445 0.494 0.0349 0.0349
446 0.496 0.0279 0.0279
447 0.497 0.021 0.0209
448 0.498 0.014 0.014
449 0.499 0.007 0.00698
450 0.5 1.47e-05 -1.1e-15
451 0.501 -0.00697 -0.00698
452 0.502 -0.0139 -0.014
453 0.503 -0.0209 -0.0209
454 0.504 -0.0279 -0.0279
455 0.506 -0.0349 -0.0349
456 0.507 -0.0419 -0.0419
457 0.508 -0.0488 -0.0488
458 0.509 -0.0558 -0.0558
459 0.51 -0.0628 -0.0628
460 0.511 -0.0697 -0.0698
461 0.512 -0.0767 -0.0767
462 0.513 -0.0837 -0.0837
463 0.514 -0.0906 -0.0906
464 0.516 -0.0976 -0.0976
465 0.517 -0.105 -0.105
466 0.518 -0.111 -0.111
467 0.519 -0.118 -0.118
468 0.52 -0.125 -0.125
469 0.521 -0.132 -0.132
470 0.522 -0.139 -0.139
471 0.523 -0.146 -0.146
472 0.524 -0.153 -0.153
473 0.526 -0.16 -0.16
474 0.527 -0.167 -0.167
475 0.528 -0.174 -0.174
476 0.529 -0.181 -0.181
477 0.53 -0.187 -0.187
478 0.531 -0.194 -0.194
479 0.532 -0.201 -0.201
480 0.533 -0.208 -0.208
481 0.534 -0.215 -0.215
482 0.536 -0.222 -0.222
483 0.537 -0.228 -0.228
484 0.538 -0.235 -0.235
485 0.539 -0.242 -0.242
486 0.54 -0.249 -0.249
487 0.541 -0.255 -0.255
488 0.542 -0.262 -0.262
489 0.543 -0.269 -0.269
490 0.544 -0.276 -0.276
491 0.546 -0.282 -0.282
492 0.547 -0.289 -0.289
493 0.548 -0.296 -0.296
494 0.549 -0.302 -0.302
495 0.55 -0.309 -0.309
496 0.551 -0.316 -0.316
497 0.552 -0.322 -0.322
498 0.553 -0.329 -0.329
499 0.554 -0.335 -0.335
500 0.556 -0.342 -0.342
501 0.557 -0.349 -0.349
502 0.558 -0.355 -0.355
503 0.559 -0.362 -0.362
504 0.56 -0.368 -0.368
505 0.561 -0.375 -0.375
506 0.562 -0.381 -0.381
507 0.563 -0.388 -0.388
508 0.564 -0.394 -0.394
509 0.566 -0.4 -0.4
510 0.567 -0.407 -0.407
511 0.568 -0.413 -0.413
512 0.569 -0.419 -0.419
513 0.57 -0.426 -0.426
514 0.571 -0.432 -0.432
515 0.572 -0.438 -0.438
516 0.573 -0.445 -0.445
517 0.574 -0.451 -0.451
518 0.576 -0.457 -0.457
519 0.577 -0.463 -0.463
520 0.578 -0.469 -0.469
521 0.579 -0.476 -0.476
522 0.58 -0.482 -0.482
523 0.581 -0.488 -0.488
524 0.582 -0.494 -0.494
525 0.583 -0.5 -0.5
526 0.584 -0.506 -0.506
527 0.586 -0.512 -0.512
528 0.587 -0.518 -0.518
529 0.588 -0.524 -0.524
530 0.589 -0.53 -0.53
531 0.59 -0.536 -0.536
532 0.591 -0.542 -0.542
533 0.592 -0.548 -0.548
534 0.593 -0.553 -0.553
535 0.594 -0.559 -0.559
536 0.596 -0.565 -0.565
537 0.597 -0.571 -0.571
538 0.598 -0.576 -0.576
539 0.599 -0.582 -0.582
540 0.6 -0.588 -0.588
541 0.601 -0.593 -0.593
542 0.602 -0.599 -0.599
543 0.603 -0.605 -0.605
544 0.604 -0.61 -0.61
545 0.606 -0.616 -0.616
546 0.607 -0.621 -0.621
547 0.608 -0.627 -0.627
548 0.609 -0.632 -0.632
549 0.61 -0.637 -0.637
550 0.611 -0.643 -0.643
551 0.612 -0.648 -0.648
552 0.613 -0.653 -0.653
553 0.614 -0.659 -0.659
554 0.616 -0.664 -0.664
555 0.617 -0.669 -0.669
556 0.618 -0.674 -0.674
557 0.619 -0.679 -0.679
558 0.62 -0.685 -0.685
559 0.621 -0.69 -0.69
560 0.622 -0.695 -0.695
561 0.623 -0.7 -0.7
562 0.624 -0.705 -0.705
563 0.626 -0.71 -0.71
564 0.627 -0.714 -0.714
565 0.628 -0.719 -0.719
566 0.629 -0.724 -0.724
567 0.63 -0.729 -0.729
