Test case...
f(619.00000000000) = -1.10040852996
f(620.00000000000) = -1.34204339317
f(621.00000000000) = -0.34980974985
f(622.00000000000) = 0.96403736425
f(623.00000000000) = 1.39155297154
f(624.00000000000) = 0.53968119427
f(625.00000000000) = -0.80837098414
f(626.00000000000) = -1.41321060773
f(627.00000000000) = -0.71875091593
f(628.00000000000) = 0.63652505329
f(629.00000000000) = 1.40658282400
f(630.00000000000) = 0.88343483311
f(631.00000000000) = -0.45193906917
f(632.00000000000) = -1.37180227548
f(633.00000000000) = -1.03043679611
f(634.00000000000) = 0.25830752151
f(635.00000000000) = 1.30956509509
f(636.00000000000) = 1.15681455962
f(637.00000000000) = -0.05950594704
f(638.00000000000) = -1.22111696042
f(639.00000000000) = -1.26003867186
f(640.00000000000) = -0.14048663935
f(641.00000000000) = 1.10822816148
f(642.00000000000) = 1.33804310151
f(643.00000000000) = 0.33766738471
f(644.00000000000) = -0.97315816836
f(645.00000000000) = -1.38926658939
f(646.00000000000) = -0.52808971506
f(647.00000000000) = 0.81861040788
f(648.00000000000) = 1.41268389703
f(649.00000000000) = 0.70794232618
f(650.00000000000) = -0.64767815452
f(651.00000000000) = -1.40782632687
f(652.00000000000) = -0.87362546682
f(653.00000000000) = 0.46378261849
f(654.00000000000) = 1.37479110321
f(655.00000000000) = 1.02182298781
f(656.00000000000) = -0.27060447021
f(657.00000000000) = -1.31423942627
f(658.00000000000) = -1.14956871475
f(659.00000000000) = 0.07201017161
f(660.00000000000) = 1.22738323828
f(661.00000000000) = 1.25430581605
f(662.00000000000) = 0.12802541107
f(663.00000000000) = -1.11596096643
f(664.00000000000) = -1.33393797791
f(665.00000000000) = -0.32549856427
f(666.00000000000) = 0.98220272824
f(667.00000000000) = 1.38687136207
f(668.00000000000) = 0.51645686149
f(669.00000000000) = -0.82878569578
f(670.00000000000) = -1.41204650649
f(671.00000000000) = -0.69707827112
f(672.00000000000) = 0.65878051197
f(673.00000000000) = 1.40895953048
f(674.00000000000) = 0.86374765442
f(675.00000000000) = -0.47558983174
f(676.00000000000) = -1.37767221989
f(677.00000000000) = -1.01312912253
f(678.00000000000) = 0.28288021780
f(679.00000000000) = 1.31881079046
f(680.00000000000) = 1.14223280438
f(681.00000000000) = -0.08450875437
f(682.00000000000) = -1.23355335408
f(683.00000000000) = -1.24847468887
f(684.00000000000) = -0.11555415235
f(685.00000000000) = 1.12360633894
f(686.00000000000) = 1.32972834398
f(687.00000000000) = 0.31330424192
f(688.00000000000) = -0.99117033528
f(689.00000000000) = -1.38436747725
f(690.00000000000) = -0.50478354497
f(691.00000000000) = 0.83889605063
f(692.00000000000) = 1.41129848604
f(693.00000000000) = 0.68615960193
f(694.00000000000) = -0.66983125581
f(695.00000000000) = -1.40998234604
f(696.00000000000) = -0.85380216979
f(697.00000000000) = 0.48735978386
f(698.00000000000) = 1.38044539980
f(699.00000000000) = 1.00435588142
f(700.00000000000) = -0.29513380252
f(701.00000000000) = -1.32327882950
f(702.00000000000) = -1.13480740325
f(703.00000000000) = 0.09700071611
f(704.00000000000) = 1.23962682442
f(705.00000000000) = 1.24254574719
f(706.00000000000) = 0.10307384028
f(707.00000000000) = -1.13116368003
f(708.00000000000) = -1.32541452955
f(709.00000000000) = -0.30108537307
f(710.00000000000) = 1.00006028689
f(711.00000000000) = 1.38175513109
f(712.00000000000) = 0.49307068006
f(713.00000000000) = -0.84894068031
f(714.00000000000) = -1.41043989429
f(715.00000000000) = -0.67518717404
f(716.00000000000) = 0.68082952024
f(717.00000000000) = 1.41089469342
f(718.00000000000) = 0.84378979214
f(719.00000000000) = -0.49909155269
f(720.00000000000) = -1.38311042566
f(721.00000000000) = -0.99550395182
f(722.00000000000) = 0.30736426432
f(723.00000000000) = 1.32764319333
f(724.00000000000) = 1.12729309313
f(725.00000000000) = -0.10948507812
f(726.00000000000) = -1.24560317346
f(727.00000000000) = -1.23651945551
f(728.00000000000) = -0.09058545267
f(729.00000000000) = 1.13863239760
f(730.00000000000) = 1.32099687259
f(731.00000000000) = 0.28884291501
f(732.00000000000) = -1.00887188656
f(733.00000000000) = -1.37903452828
f(734.00000000000) = -0.48131918444
f(735.00000000000) = 0.85891879786
f(736.00000000000) = 1.40947079851
f(737.00000000000) = 0.66416184712
f(738.00000000000) = -0.69177444357
f(739.00000000000) = -1.41169650113
f(740.00000000000) = -0.83371130592
f(741.00000000000) = 0.51078421909
f(742.00000000000) = 1.38566708868
f(743.00000000000) = 0.98657402726
f(744.00000000000) = -0.31957064500
f(745.00000000000) = -1.33190354002
f(746.00000000000) = -1.11969046274
f(747.00000000000) = 0.12196086227
f(748.00000000000) = 1.25148193296
f(749.00000000000) = 1.23039628599
f(750.00000000000) = 0.07808996794
f(751.00000000000) = -1.14601190650
f(752.00000000000) = -1.31647571921
f(753.00000000000) = -0.27657782692
f(754.00000000000) = 1.01760444394
f(755.00000000000) = 1.37620588196
f(756.00000000000) = 0.46952997881
f(757.00000000000) = -0.86882962151
f(758.00000000000) = -1.40839127463
f(759.00000000000) = -0.65308448498
f(760.00000000000) = 0.70266516831
f(761.00000000000) = 1.41238770636
f(762.00000000000) = 0.82356750074
f(763.00000000000) = -0.52243686698
f(764.00000000000) = -1.38811518854
f(765.00000000000) = -0.97756680738
f(766.00000000000) = 0.33175198821
f(767.00000000000) = 1.33605953579
f(768.00000000000) = 1.11200010772
f(769.00000000000) = -0.13442709113
f(770.00000000000) = -1.25726264234
f(771.00000000000) = -1.22417671834
f(772.00000000000) = -0.06558836508
f(773.00000000000) = 1.15330162856
f(774.00000000000) = 1.31185142363
